Step,Training loss
1,0.6519
2,0.5548
3,0.4811
4,0.6308
5,0.5029
6,0.3928
7,0.4685
8,0.4248
9,0.5265
10,0.3871
11,0.4111
12,0.4111
13,0.4365
14,0.3046
15,0.3874
16,0.3518
17,0.357
18,0.3929
19,0.4342
20,0.4779
21,0.3748
22,0.318
23,0.3092
24,0.3308
25,0.3593
26,0.3942
27,0.3998
28,0.3145
29,0.3534
30,0.2801
31,0.3028
32,0.3114
33,0.2948
34,0.2462
35,0.3238
36,0.3828
37,0.3767
38,0.2295
39,0.3254
40,0.2801
41,0.3074
42,0.3823
43,0.2878
44,0.322
45,0.2459
46,0.3286
47,0.2255
48,0.3646
49,0.2765
50,0.243
51,0.2423
52,0.2852
53,0.3182
54,0.224
55,0.2588
56,0.2855
57,0.175
58,0.2001
59,0.1698
60,0.2226
61,0.1947
62,0.231
63,0.218
64,0.179
65,0.1856
66,0.1512
67,0.1777
68,0.2338
69,0.1363
70,0.1294
71,0.1802
72,0.1497
73,0.2297
74,0.2178
75,0.1625
76,0.1854
77,0.1684
78,0.109
79,0.1233
80,0.1093
81,0.1045
82,0.1025
83,0.1033
84,0.1299
85,0.1104
86,0.1829
87,0.1685
88,0.0713
89,0.1341
90,0.0891
